outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element,outlier_score,acceptable_deviation,value_to_check,min_value,max_value
19,7,"[96.0, 96.0, 98.0, 98.0, 98.0, 98.0, 102.0]",10,CURRENT_icmp_sent,77,83,1.428869016623522,3.265986323710904,102.0,94.06734700962242,100.59931965704423
20,7,"[119.0, 119.0, 122.0, 122.0, 122.0, 122.0, 126.0]",10,CURRENT_icmp_sent,112,118,1.0206207261596574,4.898979485566357,126.0,116.10102051443364,125.89897948556636
21,7,"[128.0, 128.0, 131.0, 131.0, 131.0, 131.0, 135.0]",10,CURRENT_icmp_sent,125,131,1.0206207261596574,4.898979485566357,135.0,125.10102051443364,134.89897948556634
22,7,"[57.0, 60.0, 60.0, 60.0, 60.0, 60.0, 66.0]",12,CURRENT_icmp_recv,52,58,1.6782927833565475,3.8729833462074166,66.0,55.62701665379258,63.37298334620742
23,7,"[66.0, 66.0, 69.0, 69.0, 69.0, 69.0, 73.0]",12,CURRENT_icmp_recv,60,66,1.0206207261596574,4.898979485566357,73.0,63.10102051443364,72.89897948556636
24,7,"[79.0, 82.0, 82.0, 82.0, 82.0, 82.0, 88.0]",12,CURRENT_icmp_recv,78,84,1.6782927833565475,3.8729833462074166,88.0,77.62701665379258,85.37298334620742
25,7,"[97.0, 97.0, 100.0, 100.0, 100.0, 100.0, 105.0]",12,CURRENT_icmp_recv,95,101,1.224744871391589,4.898979485566357,105.0,94.10102051443364,103.89897948556636
26,7,"[109.0, 109.0, 111.0, 111.0, 111.0, 111.0, 117.0]",12,CURRENT_icmp_recv,108,114,2.0412414523193165,3.265986323710904,117.0,107.06734700962242,113.59931965704423
27,7,"[117.0, 120.0, 120.0, 120.0, 120.0, 120.0, 124.0]",12,CURRENT_icmp_recv,117,123,1.161895003862225,3.8729833462074166,124.0,115.62701665379258,123.37298334620742
28,7,"[132.0, 132.0, 134.0, 134.0, 134.0, 134.0, 138.0]",12,CURRENT_icmp_recv,134,140,1.4288690166235176,3.265986323710904,138.0,130.06734700962244,136.59931965704425
29,7,"[28.0, 32.0, 32.0, 32.0, 32.0, 32.0, 38.0]",13,CURRENT_icmp_recv,9,15,1.2909944487358058,5.163977794943222,38.0,26.16935553839011,36.49731112827656
30,7,"[38.0, 38.0, 41.0, 41.0, 41.0, 41.0, 47.0]",13,CURRENT_icmp_recv,17,23,1.4288690166235205,4.898979485566357,47.0,35.10102051443364,44.89897948556636
31,7,"[65.0, 65.0, 68.0, 68.0, 68.0, 68.0, 72.0]",13,CURRENT_icmp_recv,43,49,1.0206207261596574,4.898979485566357,72.0,62.10102051443364,71.89897948556636
32,7,"[68.0, 72.0, 72.0, 72.0, 72.0, 72.0, 77.0]",13,CURRENT_icmp_recv,48,54,1.0973452814254356,5.163977794943222,77.0,66.1693555383901,76.49731112827655
33,7,"[81.0, 85.0, 85.0, 85.0, 85.0, 85.0, 90.0]",13,CURRENT_icmp_recv,61,67,1.0973452814254356,5.163977794943222,90.0,79.1693555383901,89.49731112827655
34,7,"[111.0, 111.0, 115.0, 115.0, 115.0, 115.0, 121.0]",13,CURRENT_icmp_recv,91,97,1.1226827987756225,6.531972647421808,121.0,107.13469401924486,120.19863931408848
