subset_size,node,data type,index_first_element,index_last_element,total_panics,subset
6,4,CURRENT_icmp_sent,127,132,4,"[161.0, 165.0, 165.0, 165.0, 165.0, 170.0]"
6,4,CURRENT_icmp_recv,97,102,4,"[94.0, 97.0, 97.0, 97.0, 97.0, 102.0]"
6,4,CURRENT_icmp_sent,97,102,4,"[131.0, 134.0, 134.0, 134.0, 134.0, 141.0]"
6,5,CURRENT_icmp_recv,129,134,10,"[285.0, 292.0, 292.0, 292.0, 292.0, 303.0]"
6,5,CURRENT_icmp_sent,129,134,10,"[264.0, 270.0, 270.0, 270.0, 270.0, 279.0]"
6,5,CURRENT_icmp_recv,38,43,10,"[104.0, 110.0, 110.0, 110.0, 110.0, 121.0]"
6,5,CURRENT_icmp_sent,38,43,10,"[120.0, 125.0, 125.0, 125.0, 125.0, 132.0]"
6,5,CURRENT_icmp_recv,73,78,10,"[173.0, 180.0, 180.0, 180.0, 180.0, 189.0]"
6,5,CURRENT_icmp_sent,73,78,10,"[176.0, 180.0, 180.0, 180.0, 180.0, 187.0]"
6,5,CURRENT_icmp_recv,8,13,10,"[38.0, 44.0, 44.0, 44.0, 44.0, 60.0]"
6,5,CURRENT_icmp_sent,8,13,10,"[62.0, 71.0, 71.0, 71.0, 71.0, 85.0]"
6,5,CURRENT_icmp_recv,99,104,10,"[225.0, 232.0, 232.0, 232.0, 232.0, 242.0]"
6,5,CURRENT_icmp_sent,99,104,10,"[216.0, 222.0, 222.0, 222.0, 222.0, 231.0]"
6,6,CURRENT_icmp_recv,36,41,2,"[50.0, 54.0, 54.0, 54.0, 54.0, 59.0]"
6,6,CURRENT_icmp_sent,36,41,2,"[67.0, 70.0, 70.0, 70.0, 70.0, 76.0]"
6,8,CURRENT_icmp_recv,110,115,4,"[117.0, 120.0, 120.0, 120.0, 120.0, 125.0]"
6,8,CURRENT_icmp_sent,110,115,4,"[130.0, 133.0, 133.0, 133.0, 133.0, 137.0]"
6,8,CURRENT_icmp_recv,32,37,4,"[51.0, 55.0, 55.0, 55.0, 55.0, 60.0]"
6,8,CURRENT_icmp_sent,32,37,4,"[72.0, 75.0, 75.0, 75.0, 75.0, 80.0]"
6,9,CURRENT_icmp_recv,39,44,2,"[61.0, 65.0, 65.0, 65.0, 65.0, 71.0]"
6,9,CURRENT_icmp_sent,39,44,2,"[55.0, 58.0, 58.0, 58.0, 58.0, 63.0]"
7,10,CURRENT_icmp_recv,34,40,4,"[46.0, 46.0, 49.0, 49.0, 49.0, 49.0, 54.0]"
7,10,CURRENT_icmp_sent,34,40,4,"[67.0, 67.0, 69.0, 69.0, 69.0, 69.0, 73.0]"
7,10,CURRENT_icmp_recv,8,14,4,"[20.0, 20.0, 23.0, 23.0, 23.0, 23.0, 28.0]"
7,10,CURRENT_icmp_sent,8,14,4,"[34.0, 34.0, 38.0, 38.0, 38.0, 38.0, 44.0]"
7,13,CURRENT_icmp_recv,108,114,12,"[129.0, 129.0, 133.0, 133.0, 133.0, 133.0, 139.0]"
7,13,CURRENT_icmp_sent,108,114,12,"[148.0, 148.0, 151.0, 151.0, 151.0, 151.0, 159.0]"
7,13,CURRENT_icmp_recv,139,145,12,"[161.0, 161.0, 165.0, 165.0, 165.0, 165.0, 171.0]"
7,13,CURRENT_icmp_sent,139,145,12,"[180.0, 180.0, 184.0, 184.0, 184.0, 184.0, 191.0]"
7,13,CURRENT_icmp_recv,17,23,12,"[38.0, 38.0, 41.0, 41.0, 41.0, 41.0, 47.0]"
7,13,CURRENT_icmp_sent,17,23,12,"[44.0, 44.0, 48.0, 48.0, 48.0, 48.0, 54.0]"
7,13,CURRENT_icmp_recv,48,54,12,"[68.0, 72.0, 72.0, 72.0, 72.0, 72.0, 77.0]"
7,13,CURRENT_icmp_sent,48,54,12,"[79.0, 82.0, 82.0, 82.0, 82.0, 82.0, 86.0]"
7,13,CURRENT_icmp_recv,61,67,12,"[81.0, 85.0, 85.0, 85.0, 85.0, 85.0, 90.0]"
7,13,CURRENT_icmp_sent,61,67,12,"[93.0, 97.0, 97.0, 97.0, 97.0, 97.0, 103.0]"
7,13,CURRENT_icmp_recv,9,15,12,"[28.0, 32.0, 32.0, 32.0, 32.0, 32.0, 38.0]"
7,13,CURRENT_icmp_sent,9,15,12,"[33.0, 37.0, 37.0, 37.0, 37.0, 37.0, 44.0]"
7,3,CURRENT_icmp_recv,106,112,18,"[293.0, 293.0, 299.0, 299.0, 299.0, 299.0, 310.0]"
7,3,CURRENT_icmp_sent,106,112,18,"[338.0, 338.0, 344.0, 344.0, 344.0, 344.0, 356.0]"
7,3,CURRENT_icmp_recv,124,130,18,"[332.0, 340.0, 340.0, 340.0, 340.0, 340.0, 350.0]"
7,3,CURRENT_icmp_sent,124,130,18,"[381.0, 388.0, 388.0, 388.0, 388.0, 388.0, 398.0]"
7,3,CURRENT_icmp_recv,137,143,18,"[362.0, 370.0, 370.0, 370.0, 370.0, 370.0, 380.0]"
7,3,CURRENT_icmp_sent,137,143,18,"[414.0, 421.0, 421.0, 421.0, 421.0, 421.0, 431.0]"
7,3,CURRENT_icmp_recv,20,26,18,"[83.0, 92.0, 92.0, 92.0, 92.0, 92.0, 104.0]"
7,3,CURRENT_icmp_sent,20,26,18,"[119.0, 127.0, 127.0, 127.0, 127.0, 127.0, 139.0]"
7,3,CURRENT_icmp_recv,50,56,18,"[158.0, 158.0, 166.0, 166.0, 166.0, 166.0, 178.0]"
7,3,CURRENT_icmp_sent,50,56,18,"[198.0, 198.0, 205.0, 205.0, 205.0, 205.0, 218.0]"
