outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element,outlier_score,acceptable_deviation,value_to_check,min_value,max_value
708,10,"[126.0, 126.0, 126.0, 126.0, 128.0, 128.0, 128.0, 128.0, 128.0, 131.0]",10,CURRENT_icmp_sent,118,127,1.1666666666666654,3.333333333333334,131.0,123.77777777777779,130.44444444444446
709,10,"[128.0, 128.0, 128.0, 128.0, 128.0, 131.0, 131.0, 131.0, 131.0, 135.0]",10,CURRENT_icmp_sent,122,131,1.1333333333333313,5.000000000000001,135.0,124.33333333333334,134.33333333333334
710,10,"[139.0, 139.0, 139.0, 139.0, 141.0, 141.0, 141.0, 141.0, 141.0, 144.0]",10,CURRENT_icmp_sent,140,149,1.1666666666666654,3.333333333333334,144.0,136.77777777777777,143.44444444444446
711,10,"[57.0, 57.0, 57.0, 57.0, 60.0, 60.0, 60.0, 60.0, 60.0, 66.0]",12,CURRENT_icmp_recv,49,58,1.4666666666666668,5.000000000000001,66.0,53.666666666666664,63.666666666666664
712,10,"[79.0, 79.0, 79.0, 79.0, 82.0, 82.0, 82.0, 82.0, 82.0, 88.0]",12,CURRENT_icmp_recv,75,84,1.4666666666666655,5.000000000000001,88.0,75.66666666666667,85.66666666666667
713,10,"[97.0, 97.0, 97.0, 97.0, 97.0, 100.0, 100.0, 100.0, 100.0, 105.0]",12,CURRENT_icmp_recv,92,101,1.3333333333333341,5.000000000000001,105.0,93.33333333333333,103.33333333333333
714,10,"[109.0, 109.0, 109.0, 109.0, 109.0, 111.0, 111.0, 111.0, 111.0, 117.0]",12,CURRENT_icmp_recv,105,114,2.1333333333333337,3.333333333333334,117.0,106.55555555555556,113.22222222222221
715,10,"[117.0, 117.0, 117.0, 117.0, 120.0, 120.0, 120.0, 120.0, 120.0, 124.0]",12,CURRENT_icmp_recv,114,123,1.0666666666666655,5.000000000000001,124.0,113.66666666666667,123.66666666666667
716,10,"[132.0, 132.0, 132.0, 132.0, 132.0, 134.0, 134.0, 134.0, 134.0, 138.0]",12,CURRENT_icmp_recv,131,140,1.533333333333334,3.333333333333334,138.0,129.55555555555554,136.22222222222223
717,10,"[68.0, 68.0, 68.0, 68.0, 72.0, 72.0, 72.0, 72.0, 72.0, 77.0]",13,CURRENT_icmp_recv,45,54,1.0166666666666655,6.666666666666668,77.0,63.55555555555556,76.8888888888889
718,10,"[81.0, 81.0, 81.0, 81.0, 85.0, 85.0, 85.0, 85.0, 85.0, 90.0]",13,CURRENT_icmp_recv,58,67,1.0166666666666655,6.666666666666668,90.0,76.55555555555556,89.8888888888889
719,10,"[111.0, 111.0, 111.0, 111.0, 111.0, 115.0, 115.0, 115.0, 115.0, 121.0]",13,CURRENT_icmp_recv,88,97,1.233333333333334,6.666666666666668,121.0,106.1111111111111,119.44444444444444
720,10,"[139.0, 143.0, 143.0, 143.0, 143.0, 146.0, 146.0, 146.0, 146.0, 152.0]",13,CURRENT_icmp_recv,118,127,1.08281912142563,7.490735018081411,152.0,136.39815387080748,151.3796239069703
721,10,"[152.0, 152.0, 152.0, 152.0, 152.0, 156.0, 156.0, 156.0, 156.0, 161.0]",13,CURRENT_icmp_recv,127,136,1.0833333333333341,6.666666666666668,161.0,147.11111111111111,160.44444444444443
722,10,"[161.0, 161.0, 161.0, 161.0, 161.0, 165.0, 165.0, 165.0, 165.0, 171.0]",13,CURRENT_icmp_recv,136,145,1.233333333333334,6.666666666666668,171.0,156.11111111111111,169.44444444444443
723,10,"[54.0, 54.0, 54.0, 54.0, 54.0, 58.0, 58.0, 58.0, 58.0, 64.0]",13,CURRENT_icmp_sent,23,32,1.233333333333333,6.666666666666668,64.0,49.111111111111114,62.44444444444444
724,10,"[79.0, 79.0, 79.0, 79.0, 82.0, 82.0, 82.0, 82.0, 82.0, 86.0]",13,CURRENT_icmp_sent,45,54,1.0666666666666655,5.000000000000001,86.0,75.66666666666667,85.66666666666667
725,10,"[82.0, 82.0, 82.0, 82.0, 82.0, 86.0, 86.0, 86.0, 86.0, 93.0]",13,CURRENT_icmp_sent,49,58,1.383333333333334,6.666666666666668,93.0,77.1111111111111,90.44444444444444
